Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
GECO,0,0.8125,0.9375,0.9375,0.8125,3,0.9375,1.928571429,1,7.5,7.25,0.8125,0.885496183,8.1875,0.114503817,0,0,1.928571429,1
GFVO,1.970873786,0,0.990291262,0.990291262,0,8,0.990291262,4.076923077,1,2.684210526,0.932038835,0.961165049,0.484848485,1.922330097,0.515151515,0,0,4.076923077,1
GO,1.000829456,0,1.645215456,1.645215456,0,18,1.645215456,9.838738049,1.558962782,4.637224155,0.624398139,1.553671859,0.27511209,2.269613595,0.72488791,0.429889336,2.500964751,151.8758975,15.43652212
GR-TAX,1.000102414,0,1.000443792,1.000443792,1.70689E-05,29,1.000443792,17.7606899,1.000507625,5.183691519,1.70689E-05,1.000614481,1.70611E-05,1.000460861,0.999982939,0.0004438,2.461538462,17.77271093,1.000676833
MS2O,0,0.979591837,1,1,0,7,1,2.451612903,1.033333333,2.578947368,1.408163265,0.346938776,0.584745763,2.408163265,0.415254237,0.020833333,2,2.533333333,1.033333333
NALT,0,0,0.666666667,0.666666667,22437,2,0.666666667,1,1,2,0,0,0,0.666666667,1,0,0,1,1
NCBITAXON,0,0,0.999998897,0.999998897,0.999993384,42,0.999997795,17.3044579,1,10.06638696,3.999888633,0.99994156,0.799995898,4.999887531,0.200004102,4.41057E-06,2,17.30443672,0.999998776
OBOE,0,0,0.996575342,0.996575342,0,3,0.996575342,1.905405405,1,19.4,0,0,0,0.996575342,1,0,0,0.509025271,0.267148014
OFPE,0.765957447,2.29787234,0.978723404,0.978723404,0.276595745,4,0.978723404,1.878787879,1,3.285714286,6.021276596,0.574468085,0.860182371,7,0.139817629,0,0,1.878787879,1
ONTOBIOTOPE,0.995260664,0,1.088323998,1.088323998,0.000430849,15,1.088323998,7.108381503,1.082183187,3.474552957,0,1.089185696,0,1.088323998,1,0.088362069,2.019512195,9.257841907,1.30238394
PATO,0.995948435,3.840515654,1.118600368,1.118600368,0,12,1.118600368,4.216168091,1.125334523,6.420718816,0.250092081,0.758379374,0.182723358,1.368692449,0.817276642,0.11348563,2.048701299,5.280553078,1.252453167
PCO,1.037037037,21.75308642,1.053497942,1.053497942,0.082304527,37,1.053497942,7.633587786,1.07,1.79020979,10.8436214,1.049382716,0.911449325,11.89711934,0.088550675,0.053719008,2.076923077,10,1.31
PO,1.32183908,0,1.061969015,1.061969015,0,12,1.061969015,5.662565905,1.060461957,4.017013233,0.548725637,0.886556722,0.340676388,1.610694653,0.659323612,0.0625,2,6.566576087,1.159646739
PO2,0.340909091,0.534090909,1.056818182,1.056818182,0,11,1.056818182,5.392857143,1.081632653,2.384615385,2.647727273,0.431818182,0.714723926,3.704545455,0.285276074,0.034482759,2,6.163265306,1.142857143
PPEO,1.391304348,2.565217391,0.956521739,0.956521739,0,3,0.956521739,1.315789474,1,5.5,12.34782609,0.260869565,0.928104575,13.30434783,0.071895425,0,0,1.315789474,1
RO,0.259259259,14.80246914,1.074074074,1.074074074,0,11,1.074074074,5.780487805,1.15625,1.775510204,27.56790123,0.283950617,0.9625,28.64197531,0.0375,0.0125,2,7.40625,1.28125
SIO,0.998058252,1.694498382,1.010355987,1.010355987,0,14,1.010355987,7.861293346,1.009746589,3.007707129,0.908090615,1.000647249,0.473346829,1.918446602,0.526653171,0.007124352,2,8.175438596,1.039961014
SO,1.119538335,0,1.038746908,1.038746908,0,15,1.038746908,6.605552896,1.031868132,4.158415842,0.369744435,0.953009068,0.262510975,1.408491344,0.737489025,0.037938144,2.032608696,7.581868132,1.147802198
SOY,1.197380307,0,1.000903342,1.000903342,0.000451671,10,1.000903342,6.303656598,1.001592357,6.715151515,0.000903342,0.998193315,0.000901713,1.001806685,0.999098287,0.001355626,2,6.313694268,1.001592357
STY,0,0,0.9921875,0.9921875,0,9,0.9921875,5.085365854,1,2.760869565,0,0.9921875,0,0.9921875,1,0,0,5.085365854,1
TO,0.362418831,0,1.248173701,1.248173701,0,30,1.248173701,8.25178363,1.239945928,3.123920772,0.021103896,1.246956169,0.016626699,1.269277597,0.983373301,0.212502537,2.170009551,21.49814126,2.605272051
TOP,0.989595376,0,0.998843931,0.998843931,0.997687861,8,0.998843931,4.315789474,1,6.967741935,0,0.787283237,0,0.998843931,1,0.016203704,2,4.315789474,1
TRANSMAT,0,0,1.024944974,1.024944974,1.19002201,11,1.024944974,5.932454695,1.029686175,7.592391304,0.278063096,1.01540719,0.213400901,1.30300807,0.786599099,0.025697504,2,6.108566582,1.029686175
TRIPHASE,0.999623494,0,1.021460843,1.021460843,0.000376506,15,1.021460843,8.269135802,1.015748031,3.612516644,0,1.021460843,0,1.021460843,1,0.021092279,2.053571429,8.790026247,1.062992126
VARIO,1,0,1.012787724,1.012787724,0,10,1.012787724,5.788321168,1.02238806,3.219512195,0.086956522,1.00511509,0.079069767,1.099744246,0.920930233,0.015384615,2,5.917910448,1.02238806
VT,1.016009148,0,1.159233848,1.159233848,0.000285878,16,1.159233848,8.849928146,1.148790507,3.102524866,0.000857633,1.136077759,0.00073928,1.160091481,0.99926072,0.152416357,2.069418386,19.67503423,2.22318576
WHEATPHENOTYPE,1.00856531,0,1.017130621,1.017130621,0.002141328,11,1.017130621,7.078488372,1.021021021,3.544776119,0.162740899,1.012847966,0.137931034,1.17987152,0.862068966,0.019313305,2,7.312312312,1.033033033
